,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI,genre_ids,id,popularity,release_date,vote_average,vote_count,genres_labels
518,21433.0,135000.0,294448.0,Sound of My Voice,408015.0,429448.0,218.1096296296296,"[878, 18, 9648, 53]",86812.0,7.212,2011-01-22,6.4,169.0,"Science Fiction, Drama, Mystery, Thriller"
519,14298341.0,5600000.0,9083763.0,Khiladi 786,385422.0,14683763.0,162.21005357142857,"[28, 35]",147767.0,1.824,2012-12-07,4.7,16.0,"Action, Comedy"
520,511415.0,270000.0,560700.0,Compliance,319285.0,830700.0,207.66666666666666,"[18, 53, 80, 9648]",84188.0,6.93,2012-08-24,6.4,340.0,"Drama, Thriller, Crime, Mystery"
521,143000.0,800000.0,-337794.0,Kill List,29063.0,462206.0,-42.224250000000005,"[27, 53, 80]",74725.0,7.036,2012-01-04,6.1,332.0,"Horror, Thriller, Crime"
522,109099.0,10000000.0,-9751867.0,High School,139034.0,248133.0,-97.51867,[35],27584.0,5.762,2010-06-03,5.8,68.0,Comedy
523,933139.0,750000.0,261535.0,The Innkeepers,78396.0,1011535.0,34.87133333333333,"[27, 53]",58428.0,8.494,2011-12-30,5.5,324.0,"Horror, Thriller"
524,0.0,2000000.0,-1982939.0,The First Time,17061.0,17061.0,-99.14695,"[18, 35, 10749]",84199.0,11.25,2012-10-19,7.0,1426.0,"Drama, Comedy, Romance"
525,875700000.0,150000000.0,1122469910.0,Frozen,400738009.0,1272469910.0,748.3132733333333,[53],44363.0,9.678,2010-02-05,5.8,987.0,Thriller
526,875700000.0,150000000.0,1122469910.0,Frozen,400738009.0,1272469910.0,748.3132733333333,"[16, 12, 10751]",109445.0,26.183,2013-11-27,7.3,9767.0,"Animation, Adventure, Family"
527,805800000.0,200000000.0,1015392272.0,Iron Man 3,408992272.0,1215392272.0,507.696136,"[28, 12, 878]",68721.0,32.093,2013-05-03,6.9,14155.0,"Action, Adventure, Science Fiction"
528,602700000.0,76000000.0,899216835.0,Despicable Me 2,368065385.0,975216835.0,1183.1800460526315,"[16, 35, 10751]",93456.0,19.014,2013-07-03,6.9,7319.0,"Animation, Comedy, Family"
529,700000000.0,250000000.0,710366855.0,The Hobbit: The Desolation of Smaug,258366855.0,960366855.0,284.14674199999996,"[12, 14, 28]",57158.0,21.275,2013-12-13,7.6,7739.0,"Adventure, Fantasy, Action"
530,440300000.0,130000000.0,734868047.0,The Hunger Games: Catching Fire,424668047.0,864868047.0,565.2831130769231,"[12, 28, 878]",101299.0,20.187,2013-11-22,7.4,11170.0,"Adventure, Action, Science Fiction"
531,475700000.0,200000000.0,543588329.0,Monsters University,268488329.0,743588329.0,271.79416449999997,"[16, 10751]",62211.0,20.33,2013-06-21,7.0,6362.0,"Animation, Family"
