,title_x,foreign_gross,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI,runtime_minutes,genres,averagerating,numvotes,popularity,release_date,release_month
904,Why Him?,57800000,38000000,60323786,117425156,79425156,209.01356842105264,111.0,Comedy,6.2,89628.0,15.044,2016-12-23,December
905,Office Christmas Party,59700000,45000000,54767494,91323299,46323299,102.94066444444445,105.0,Comedy,5.8,59253.0,10.729,2016-12-09,December
906,10 Cloverfield Lane,38100000,5000000,72082999,108286422,103286422,2065.7284400000003,103.0,"Drama,Horror,Mystery",7.2,260383.0,17.892,2016-03-11,March
907,The 5th Wave,75000000,38000000,34912982,111336398,73336398,192.99052105263158,112.0,"Action,Adventure,Drama",5.2,90788.0,12.967,2016-01-15,January
908,Neighbors 2: Sorority Rising,52600000,35000000,55340730,108757621,73757621,210.73605999999998,92.0,Comedy,5.7,102793.0,17.662,2016-05-20,May
909,The Little Prince,96200000,77500000,1311213,102028919,24528919,31.650218064516128,93.0,Action,8.3,6.0,8.512,2016-08-05,August
910,Dirty Grandpa,58500000,11500000,35593113,105078449,93578449,813.7256434782608,102.0,Comedy,5.9,101393.0,11.432,2016-01-22,January
911,Money Monster,52300000,27000000,41012075,93466095,66466095,246.1707222222222,98.0,"Crime,Drama,Thriller",6.5,86607.0,11.134,2016-05-13,May
912,My Big Fat Greek Wedding 2,29200000,18000000,59689605,92096558,74096558,411.6475444444444,94.0,"Comedy,Romance",6.0,25933.0,6.714,2016-03-25,March
913,Collateral Beauty,57500000,36000000,31016021,85309093,49309093,136.96970277777777,97.0,"Drama,Romance",6.8,78764.0,12.857,2016-12-16,December
914,War Dogs,43200000,50000000,43034523,86234503,36234503,72.46900600000001,114.0,"Comedy,Crime,Drama",7.1,154029.0,10.654,2016-08-19,August
915,Nerve,46700000,20000000,38583626,70652284,50652284,253.26142,83.0,"Comedy,Drama",6.8,88.0,0.6,2011-12-07,December
917,Ouija: Origin of Evil,46600000,9000000,35144505,81831866,72831866,809.2429555555557,99.0,"Drama,Horror,Mystery",6.1,47099.0,11.823,2016-10-21,October
