,title,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI
122,The Last Station,6900000,2010-01-15,18000000,6617867,15696146,-2303854,-12.799188888888887
123,Made in Dagenham,11300000,2010-11-19,8000000,1095369,15644196,7644196,95.55245
124,Blue Valentine,2600000,2010-12-29,1000000,9737892,16566240,15566240,1556.624
125,Chloe,8600000,2010-03-26,13000000,3075255,11831131,-1168869,-8.9913
126,The Warrior's Way,5400000,2010-12-03,42000000,5666340,8514325,-33485675,-79.72779761904762
127,Jonah Hex,356000,2010-06-18,47000000,10547117,11022696,-35977304,-76.54745531914894
128,Harry Brown,8500000,2010-04-30,7300000,1818681,12023606,4723606,64.70693150684932
129,Cyrus,2500000,2010-06-18,7000000,7468936,10062896,3062896,43.75565714285714
130,Conviction,2900000,2010-10-15,12500000,6797696,11826980,-673020,-5.3841600000000005
131,Get Low,518000,2010-07-30,7000000,9176933,10828305,3828305,54.69007142857143
132,Stone,7700000,2010-10-08,22000000,1810078,4065020,-17934980,-81.52263636363635
133,Never Let Me Go,7000000,2010-09-15,15000000,2434652,11173718,-3826282,-25.508546666666664
134,MacGruber,797000,2010-05-21,10000000,8525600,8629895,-1370105,-13.70105
135,City Island,1200000,2010-03-19,6000000,6671283,8173486,2173486,36.22476666666667
136,Inside Job,3600000,2010-10-08,2000000,4311834,7799257,5799257,289.96285
137,The Joneses,5500000,2010-04-16,10000000,1475746,3541565,-6458435,-64.58435
138,Centurion,6700000,2010-08-27,15000000,123570,7885048,-7114952,-47.433013333333335
139,Animal Kingdom,5700000,2010-08-13,4200000,1044039,8078683,3878683,92.34959523809523
140,Nowhere Boy,5100000,2010-10-08,1900000,1445366,7785229,5885229,309.7488947368421
141,It's Kind of a Funny Story,128000,2010-10-08,8000000,6363628,6632950,-1367050,-17.088125
142,Solitary Man,818000,2010-05-21,12500000,4360548,4360548,-8139452,-65.115616
143,Rabbit Hole,2900000,2010-12-17,5000000,2229058,6205034,1205034,24.10068
144,Mother and Child,3900000,2010-05-07,7000000,1110509,6537179,-462821,-6.611728571428571
