,title,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI
632,Ain't Them Bodies Saints,635000,2013-08-16,5000000,391611,1075009,-3924991,-78.49982
633,The Reluctant Fundamentalist,0,2013-04-26,15000000,528731,528731,-14471269,-96.47512666666667
634,ABCD (Any Body Can Dance),0,2013-02-08,1900000,222098,10137234,8237234,433.53863157894733
635,The Canyons,0,2013-08-02,250000,59671,62375,-187625,-75.05
636,Transformers: Age of Extinction,858600000,2014-06-27,210000000,245439076,1104039076,894039076,425.7328933333333
637,The Hobbit: The Battle of the Five Armies,700900000,2014-12-17,250000000,255119788,945577621,695577621,278.23104839999996
638,Guardians of the Galaxy,440200000,2014-08-01,170000000,333172112,770867516,600867516,353.45148
639,Maleficent,517100000,2014-05-30,180000000,241407328,758536735,578536735,321.4092972222222
640,The Hunger Games: Mockingjay - Part 1,418200000,2014-11-21,125000000,337135885,766575131,641575131,513.2601048
641,X-Men: Days of Future Past,513900000,2014-05-23,200000000,233921534,747862775,547862775,273.9313875
642,Captain America: The Winter Soldier,454500000,2014-04-04,170000000,259746958,714401889,544401889,320.2364052941177
643,Dawn of the Planet of the Apes,502100000,2014-07-11,170000000,208545589,710644566,540644566,318.02621529411766
644,The Amazing Spider-Man 2,506100000,2014-05-02,200000000,202853933,708996336,508996336,254.498168
645,Interstellar,489400000,2014-11-05,165000000,188017894,666379375,501379375,303.8662878787879
646,Big Hero 6,435300000,2014-11-07,165000000,222527828,652127828,487127828,295.2289866666667
647,How to Train Your Dragon 2,444500000,2014-06-13,145000000,177002924,614586270,469586270,323.8526
648,American Sniper,197300000,2014-12-25,58000000,350126372,547326372,489326372,843.6661586206898
649,Rio 2,368600000,2014-04-11,130000000,131538435,492846291,362846291,279.11253153846155
650,Lucy,336700000,2014-07-25,40000000,126573960,457507776,417507776,1043.76944
651,Penguins of Madagascar,289700000,2014-11-26,132000000,83350911,366942531,234942531,177.9867659090909
652,Edge of Tomorrow,270300000,2014-06-06,178000000,100206256,370541256,192541256,108.16924494382023
653,Gone Girl,201600000,2014-10-03,61000000,167767189,368567189,307567189,504.20850655737706
654,Night at the Museum: Secret of the Tomb,249500000,2014-12-19,127000000,113746621,353756621,226756621,178.54852047244094
655,Noah,261399999,2014-03-28,130000000,101200044,352831065,222831065,171.40851153846154
656,The Maze Runner,245900000,2014-09-19,34000000,102427862,348319861,314319861,924.4701794117648
657,22 Jump Street,139600000,2014-06-13,50000000,191719337,331333876,281333876,562.6677520000001
658,Divergent,137900000,2014-03-21,85000000,150947895,276014965,191014965,224.7234882352941
659,Mr. Peabody & Sherman,164200000,2014-03-07,145000000,111506430,269806430,124806430,86.0734
660,Neighbors,120500000,2014-05-09,18000000,150086800,270944428,252944428,1405.2468222222221
661,Exodus: Gods and Kings,203200000,2014-12-12,140000000,65014513,268314513,128314513,91.65322357142857
662,Annabelle,172800000,2014-10-03,6500000,84273813,256862920,250362920,3851.7372307692303
663,The Imitation Game,142400000,2014-11-28,15000000,91125143,227740463,212740463,1418.2697533333335
664,Non-Stop,130600000,2014-02-28,50000000,91742160,222383055,172383055,344.76610999999997
665,Dracula Untold,160800000,2014-10-10,70000000,55991880,220241723,150241723,214.63103285714286
666,The Expendables 3,175300000,2014-08-15,100000000,39322544,209461378,109461378,109.461378
667,Into the Woods,85100000,2014-12-25,56200000,128002372,213116401,156916401,279.21067793594307
668,Need for Speed,159700000,2014-03-14,66000000,43568507,194169619,128169619,194.19639242424242
669,The Equalizer,90800000,2014-09-26,55000000,101530738,192903624,137903624,250.7338618181818
670,The Grand Budapest Hotel,115500000,2014-03-07,31000000,59076019,163981261,132981261,428.97180967741934
671,Dumb and Dumber To,83600000,2014-11-14,40000000,86208010,156553592,116553592,291.38398
672,Unbroken,47800000,2014-12-25,65000000,115637895,163527824,98527824,151.58126769230768
673,The Monuments Men,77000000,2014-02-07,70000000,78031620,158702748,88702748,126.71821142857142
674,Ride Along,19500000,2014-01-17,25000000,134202565,153733800,128733800,514.9352
675,Jack Ryan: Shadow Recruit,84900000,2014-01-17,60000000,50577412,131377412,71377412,118.96235333333334
676,Blended,81700000,2014-05-23,45000000,46290741,127990741,82990741,184.42386888888888
677,Sex Tape,87500000,2014-07-18,40000000,38543473,126069509,86069509,215.17377249999998
678,The Theory of Everything,87800000,2014-11-07,15000000,35893537,123327692,108327692,722.1846133333333
679,The Nut Job,56600000,2014-01-17,30000000,64251538,122529966,92529966,308.43322
680,Pompeii,94600000,2014-02-21,80000000,23169033,108469033,28469033,35.58629125
681,The Purge: Anarchy,40000000,2014-07-18,9000000,71562550,111534881,102534881,1139.2764555555555
682,The Boxtrolls,58400000,2014-09-26,60000000,50837305,111946251,51946251,86.577085
683,Horrible Bosses 2,53200000,2014-11-26,40000000,54445357,105945357,65945357,164.8633925
684,Ouija,52700000,2014-10-24,5000000,50856010,103300632,98300632,1966.01264
685,Transcendence,80000000,2014-04-18,100000000,23022309,103039258,3039258,3.039258
686,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",34400000,2014-10-10,28000000,66954149,101379287,73379287,262.06888214285715
687,Heaven is for Real,9900000,2014-04-16,12000000,91386097,100916299,88916299,740.9691583333333
688,Tammy,16000000,2014-07-02,20000000,84525432,96407655,76407655,382.038275
689,Paranormal Activity: The Marked Ones,58400000,2014-01-03,5000000,32462372,90904854,85904854,1718.09708
690,The Hundred-Foot Journey,34600000,2014-08-08,22000000,54235441,94270488,72270488,328.5022181818182
691,John Wick,45700000,2014-10-24,30000000,43037835,76235001,46235001,154.11667
692,Snowpiercer,82200000,2014-06-27,40000000,4563029,88069880,48069880,120.17469999999999
693,The Judge,37300000,2014-10-10,50000000,47119388,76119388,26119388,52.238776
694,Muppets Most Wanted,29200000,2014-03-21,55000000,51178893,79312301,24312301,44.20418363636364
695,If I Stay,28400000,2014-08-22,11000000,50474843,78356170,67356170,612.3288181818182
696,"I, Frankenstein",52100000,2014-01-24,65000000,19075290,74575290,9575290,14.731215384615384
697,Think Like a Man Too,5000000,2014-06-20,24000000,65028687,70027933,46027933,191.7830541666667
698,Brick Mansions,48500000,2014-04-25,28000000,20396829,73421224,45421224,162.21865714285715
699,Son of God,8100000,2014-02-28,22000000,59700064,70949793,48949793,222.4990590909091
700,Jersey Boys,20600000,2014-06-20,40000000,47047013,65282732,25282732,63.206830000000004
701,The Giver,21900000,2014-08-15,25000000,45090374,66540205,41540205,166.16082
702,Selma,14700000,2015-01-09,20000000,52076908,66776576,46776576,233.88288
703,Begin Again,47300000,2014-06-27,8000000,16170632,68838736,60838736,760.4842
704,The Legend of Hercules,42400000,2014-01-10,70000000,18848538,58953319,-11046681,-15.780972857142858
705,Dolphin Tale 2,15800000,2014-09-12,36000000,42024533,57824533,21824533,60.62370277777778
706,St. Vincent,10700000,2014-10-10,13000000,44137712,54837234,41837234,321.82487692307694
707,A Walk Among the Tombstones,26900000,2014-09-19,28000000,26017685,62108587,34108587,121.81638214285715
708,3 Days to Kill,21900000,2014-02-21,28000000,30697999,38959900,10959900,39.142500000000005
709,Whiplash,35900000,2014-10-10,3300000,13092006,38969037,35669037,1080.879909090909
710,Earth to Echo,6400000,2014-07-02,13000000,38934842,42174545,29174545,224.41957692307693
711,Boyhood,19100000,2014-07-11,4000000,25379975,57273049,53273049,1331.826225
712,Oculus,16300000,2014-04-11,5000000,27695246,44115496,39115496,782.3099199999999
713,This is Where I Leave You,7000000,2014-09-19,20000000,34296320,41296320,21296320,106.4816
714,That Awkward Moment,14400000,2014-01-31,8000000,26068955,53068955,45068955,563.3619375000001
715,The Gambler,5600000,2014-12-10,25000000,33680992,38718031,13718031,54.872124
717,Million Dollar Arm,2800000,2014-05-16,25000000,36447959,39217912,14217912,56.87164799999999
718,Nightcrawler,6300000,2014-10-31,8500000,32381218,50334418,41834418,492.16962352941175
719,Devil's Due,21100000,2014-01-17,7000000,15821461,36146087,29146087,416.37267142857144
720,A Most Wanted Man,19000000,2014-07-25,15000000,17237855,36068890,21068890,140.45926666666665
721,The Best of Me,9200000,2014-10-17,26000000,26766213,41059418,15059418,57.92083846153846
722,The November Man,7500000,2014-08-27,15000000,25018119,34820335,19820335,132.13556666666665
723,When the Game Stands Tall,0,2014-08-22,15000000,30127963,30138912,15138912,100.92608000000001
724,Draft Day,620000,2014-04-11,25000000,28842237,29847480,4847480,19.38992
725,Big Eyes,14800000,2014-12-25,10000000,14482031,27317872,17317872,173.17872
726,Top Five,800000,2014-12-12,12000000,25317379,26001741,14001741,116.681175
727,And So It Goes,10200000,2014-07-25,18000000,15160801,17920013,-79987,-0.4443722222222222
728,A Haunted House 2,6600000,2014-04-18,4000000,17329487,21206861,17206861,430.171525
729,The Railway Man,17900000,2014-04-11,18000000,4438438,23910210,5910210,32.8345
730,Mr. Turner,18200000,2014-12-19,14000000,3958546,25187026,11187026,79.90732857142856
731,Labor Day,6900000,2014-01-31,18000000,13371528,14189810,-3810190,-21.16772222222222
732,The Drop,7900000,2014-09-12,12600000,10724389,19054534,6454534,51.22646031746032
733,Addicted,0,2014-10-10,5000000,17390770,17499242,12499242,249.98484
734,Inherent Vice,6600000,2014-12-12,20000000,8110975,14772346,-5227654,-26.138270000000002
735,A Most Violent Year,6300000,2014-12-31,20000000,5749134,8846875,-11153125,-55.765625
736,The Babadook,9300000,2014-11-28,2000000,950792,7482387,5482387,274.11935
737,The Immigrant,3800000,2014-05-16,16000000,2013456,7585011,-8414989,-52.59368125
738,Wish I Was Here,1900000,2014-07-18,6000000,3591299,6591365,591365,9.856083333333334
739,The Skeleton Twins,0,2014-09-12,1000000,5284309,5797192,4797192,479.7192
740,Dear White People,0,2014-10-17,1250000,4404154,5403771,4153771,332.30168
741,The Lunchbox,0,2014-02-28,1700000,4231500,12231500,10531500,619.5
742,Ida,0,2014-05-02,2600000,3827060,15298355,12698355,488.39826923076924
743,Veronica Mars,195000,2014-03-14,6000000,3322127,3485383,-2514617,-41.91028333333333
744,Mommy,0,2015-01-23,4900000,3498695,17536004,12636004,257.87763265306126
745,The Rover,2100000,2014-06-13,8500000,1109199,3180252,-5319748,-62.585270588235296
746,Rosewater,0,2014-11-14,10000000,3128941,3185717,-6814283,-68.14283
747,Obvious Child,0,2014-06-06,1000000,3122616,3324070,2324070,232.40699999999998
748,Kill the Messenger,0,2014-10-10,5000000,2450846,6656705,1656705,33.1341
749,The Homesman,0,2014-11-14,16000000,2429989,8217571,-7782429,-48.64018125
750,Tusk,0,2014-09-19,3000000,1821983,1887554,-1112446,-37.08153333333333
751,Locke,0,2014-04-25,2000000,1370646,2088390,88390,4.4195
752,Jackpot,1100000,2001-07-27,400000,44452,44452,-355548,-88.887
753,Palo Alto,0,2014-05-09,1000000,767732,1156309,156309,15.6309
754,Dom Hemingway,0,2014-04-02,7000000,523511,1857458,-5142542,-73.46488571428571
755,The Face of Love,0,2014-03-07,4000000,385069,1158877,-2841123,-71.028075
756,I Origins,0,2014-07-18,1000000,336472,852399,-147601,-14.760100000000001
757,Rudderless,0,2014-10-17,5000000,56001,567219,-4432781,-88.65562
758,Two Night Stand,0,2014-09-26,1600000,15600,868081,-731919,-45.7449375
759,13 Sins,0,2014-04-18,4000000,9134,47552,-3952448,-98.8112
760,Camp X-Ray,0,2014-10-17,1000000,9837,101053,-898947,-89.8947
761,Wolves,0,2014-11-14,18000000,0,94953,-17905047,-99.47248333333333
762,Falcon Rising,0,2014-09-04,4500000,11774,11774,-4488226,-99.73835555555556
763,Anna,0,2014-06-06,4357373,0,1200000,-3157373,-72.46047102233388
764,Jurassic World,10190000,2015-06-12,215000000,652270625,1648854864,1433854864,666.9092390697674
765,Furious 7,1163,2015-04-03,190000000,353007020,1518722794,1328722794,699.3277863157895
766,Avengers: Age of Ultron,946400000,2015-05-01,330600000,459005868,1403013963,1072413963,324.38413883847545
767,Minions,823400000,2015-07-10,74000000,336045770,1160336173,1086336173,1468.0218554054054
768,Spectre,680600000,2015-11-06,300000000,200074175,879620923,579620923,193.20697433333333
769,Inside Out,501100000,2015-06-19,175000000,356461711,854235992,679235992,388.1348525714286
770,The Hunger Games: Mockingjay - Part 2,371700000,2015-11-20,160000000,281723902,648986787,488986787,305.616741875
771,The Martian,401700000,2015-10-02,108000000,228433663,655271443,547271443,506.7328175925926
772,Fifty Shades of Grey,404800000,2015-02-13,40000000,166167230,570998101,530998101,1327.4952524999999
773,The Revenant,349300000,2015-12-25,135000000,183637894,532938302,397938302,294.7691125925926
774,Ant-Man,339100000,2015-07-17,130000000,180202163,518858449,388858449,299.1218838461538
775,Hotel Transylvania 2,305100000,2015-09-25,80000000,169700110,469500298,389500298,486.8753725
776,San Andreas,318800000,2015-05-29,110000000,155190832,456258539,346258539,314.78049
777,Terminator: Genisys,350800000,2015-07-01,155000000,89760956,432150894,277150894,178.80702838709678
778,Kingsman: The Secret Service,286100000,2015-02-13,94000000,128261724,404561724,310561724,330.38481276595746
779,Mad Max: Fury Road,224800000,2015-05-15,150000000,153636354,370098020,220098020,146.73201333333336
780,The Good Dinosaur,209100000,2015-11-25,187500000,123087120,333771037,146271037,78.01121973333333
781,Taken 3,237200000,2015-01-09,48000000,89256424,327656424,279656424,582.6175499999999
782,The SpongeBob Movie: Sponge Out of Water,162200000,2015-02-06,74000000,162994032,311013181,237013181,320.2880824324324
783,Maze Runner: The Scorch Trials,230600000,2015-09-18,61000000,81697192,310566162,249566162,409.12485573770493
784,The Divergent Series: Insurgent,167100000,2015-03-20,110000000,130179072,295075882,185075882,168.25080181818183
785,Pitch Perfect 2,103200000,2015-05-15,29000000,184296230,287625468,258625468,891.8119586206897
786,Paddington,191800000,2015-01-16,55000000,76223578,258789097,203789097,370.5256309090909
787,The Peanuts Movie,116100000,2015-11-06,99000000,130178411,250091610,151091610,152.61778787878788
788,Pixels,166100000,2015-07-24,90000000,78765986,244041804,154041804,171.15756
789,Alvin and the Chipmunks: The Road Chip,148900000,2015-12-18,90000000,85886987,249517956,159517956,177.24217333333334
790,Ted 2,135200000,2015-06-26,68000000,81476385,217214143,149214143,219.4325632352941
791,Tomorrowland,115700000,2015-05-22,170000000,93436322,206627518,36627518,21.54559882352941
792,Straight Outta Compton,40400000,2015-08-14,28000000,161197785,202182981,174182981,622.0820749999999
793,The Intern,118800000,2015-09-25,40000000,75764672,197115710,157115710,392.789275
794,Jupiter Ascending,136600000,2015-02-06,179000000,47482519,181982519,2982519,1.6662117318435754
795,Creed,63800000,2015-11-25,37000000,109767581,173567581,136567581,369.10157027027026
796,Fantastic Four,111900000,2015-08-07,120000000,56117548,167849187,47849187,39.8743225
798,Bridge of Spies,93200000,2015-10-16,40000000,72313754,162498338,122498338,306.245845
799,The Hateful Eight,101600000,2015-12-25,62000000,54117416,147864886,85864886,138.49175161290324
800,Goosebumps,70100000,2015-10-16,58000000,80069458,158905324,100905324,173.97469655172412
801,The Last Witch Hunter,119600000,2015-10-23,80000000,27367660,130818912,50818912,63.52364
802,Trainwreck,30600000,2015-07-17,35000000,110212700,141123897,106123897,303.21113428571425
803,The Big Short,63200000,2015-12-11,28000000,70259870,133162752,105162752,375.5812571428571
804,Pan,93300000,2015-10-09,150000000,35088320,151525973,1525973,1.0173153333333333
805,Magic Mike XXL,56500000,2015-07-01,14500000,66013057,123660597,109160597,752.8317034482758
806,Seventh Son,97000000,2015-02-06,95000000,17725785,108874967,13874967,14.605228421052633
807,Insidious Chapter 3,60800000,2015-06-05,10000000,52218558,120453155,110453155,1104.53155
808,Get Hard,21400000,2015-03-27,40000000,90411453,106511453,66511453,166.2786325
809,The Man From U.N.C.L.E.,64400000,2015-08-14,75000000,45445109,104949584,29949584,39.93277866666667
810,Paul Blart: Mall Cop 2,36600000,2015-04-17,38000000,71091594,107650646,69650646,183.29117368421052
811,Sisters,18000000,2015-12-18,30000000,87044645,106030660,76030660,253.43553333333335
812,Vacation,46000000,2015-07-29,31000000,58884188,102306500,71306500,230.0209677419355
813,Chappie,70500000,2015-03-06,49000000,31569268,105002056,56002056,114.28991020408164
814,Joy,44700000,2015-12-25,60000000,56451232,101134059,41134059,68.556765
815,Black Mass,37200000,2015-09-18,53000000,62575678,98837872,45837872,86.48655094339622
816,The Visit,33200000,2015-09-11,5000000,65206105,98677816,93677816,1873.5563200000001
817,Spotlight,53200000,2015-11-06,20000000,45055776,92088460,72088460,360.4423
818,In the Heart of the Sea,68900000,2015-12-11,100000000,25020758,89693309,-10306691,-10.306690999999999
819,Southpaw,39500000,2015-07-24,30000000,52421953,94156456,64156456,213.85485333333332
820,The Second Best Exotic Marigold Hotel,52900000,2015-03-06,10000000,33078266,90384306,80384306,803.84306
821,Paper Towns,53500000,2015-07-24,12000000,32000304,85450484,73450484,612.0873666666666
822,Sicario,38000000,2015-09-18,30000000,46889293,84393749,54393749,181.31249666666668
823,Hitman: Agent 47,59900000,2015-08-21,35000000,22467450,82182803,47182803,134.80800857142856
824,The Wedding Ringer,15300000,2015-01-16,23000000,64460211,80171596,57171596,248.57215652173915
825,Paranormal Activity: The Ghost Dimension,60600000,2015-10-23,10000000,18297124,77959374,67959374,679.59374
826,Crimson Peak,43600000,2015-10-16,55000000,31090320,74966854,19966854,36.30337090909091
827,The Transporter Refueled,56600000,2015-09-04,22000000,16029670,69698495,47698495,216.81134090909092
828,Run All Night,45200000,2015-03-13,50000000,26461644,66961644,16961644,33.923288
829,War Room,0,2015-08-28,3000000,67790117,73975239,70975239,2365.8413
830,The Age of Adaline,23000000,2015-04-24,30000000,42629776,68984536,38984536,129.94845333333333
831,Unfriended,31600000,2015-04-17,1000000,32789645,64364198,63364198,6336.419800000001
832,The Longest Ride,25500000,2015-04-10,34000000,37446117,63802928,29802928,87.6556705882353
833,Brooklyn,23800000,2015-11-04,11000000,38322743,62076141,51076141,464.3285545454545
834,Woman in Gold,28300000,2015-04-01,11000000,33307793,58586407,47586407,432.60370000000006
835,Krampus,18800000,2015-12-04,15000000,42725475,61788393,46788393,311.92262
836,The Walk,51000000,2015-09-30,35000000,10161183,61492104,26492104,75.69172571428572
837,The Perfect Guy,3200000,2015-09-11,18000000,57027435,60278166,42278166,234.8787
838,No Escape,27100000,2015-08-26,5000000,27288872,42844516,37844516,756.89032
839,Sinister 2,25100000,2015-08-21,10000000,27740955,54104225,44104225,441.04225
840,The Boy Next Door,17000000,2015-01-23,4000000,36006065,53401938,49401938,1235.04845
841,The Night Before,9300000,2015-11-20,25000000,43035725,52427346,27427346,109.70938400000001
842,Hot Pursuit,17100000,2015-05-08,35000000,34580201,45671512,10671512,30.490034285714284
843,Entourage,16900000,2015-06-03,30000000,32363404,46438538,16438538,54.79512666666667
844,Mortdecai,39600000,2015-01-23,60000000,7696134,30396134,-29603866,-49.339776666666666
845,"McFarland, USA",1200000,2015-02-20,17000000,44480275,45707924,28707924,168.87014117647058
846,Still Alice,25100000,2015-01-16,5000000,18656400,41699612,36699612,733.99224
847,The DUFF,9500000,2015-02-20,8500000,34030343,43528634,35028634,412.10157647058827
848,Legend,41100000,1986-04-18,25000000,15502112,23506237,-1493763,-5.975052
850,The Gallows,20200000,2015-07-10,100000,22764410,41656474,41556474,41556.473999999995
851,Love the Coopers,16100000,2015-11-13,18000000,26302731,42227490,24227490,134.59716666666665
852,The Lady in the Van,31400000,2016-01-15,6000000,10021175,42320503,36320503,605.3417166666667
853,Ricki and the Flash,14500000,2015-08-07,18000000,26839498,41166033,23166033,128.70018333333334
854,Carol,27600000,2015-11-20,11800000,12711491,42843521,31043521,263.080686440678
855,The Lazarus Effect,12600000,2015-02-27,5000000,25801570,38359310,33359310,667.1862
856,The Water Diviner,34000000,2015-04-24,22500000,4200117,31054727,8554727,38.02100888888889
857,A Walk in the Woods,8000000,2015-09-02,8000000,29499394,37119358,29119358,363.99197499999997
858,Ex Machina,11400000,2015-04-10,13000000,25440971,38358392,25358392,195.06455384615384
859,Burnt,23000000,2015-10-30,20000000,13651946,36773510,16773510,83.86755000000001
860,Room,20700000,2015-10-16,13000000,14677674,36262783,23262783,178.94448461538462
861,Steve Jobs,16700000,2015-10-09,30000000,17766658,35579007,5579007,18.59669
862,Victor Frankenstein,28500000,2015-11-25,40000000,5775076,31124367,-8875633,-22.1890825
863,Project Almanac,10900000,2015-01-30,12000000,22348241,32909437,20909437,174.24530833333333
864,Self/Less,18200000,2015-07-10,26000000,12279691,33667319,7667319,29.48968846153846
865,American Ultra,12700000,2015-08-21,28000000,14439985,30295028,2295028,8.196528571428571
866,Aloha,5200000,2015-05-29,37000000,21052030,25387091,-11612909,-31.386240540540538
867,The 33,12700000,2015-11-13,25000000,12227722,28400715,3400715,13.60286
868,The Gunman,13500000,2015-03-20,40000000,10664749,18594227,-21405773,-53.5144325
869,Black or White,0,2015-01-30,9000000,21571189,21971021,12971021,144.12245555555558
870,Blackhat,11600000,2015-01-16,70000000,8005980,19665004,-50334996,-71.90713714285715
871,Dope,480000,2015-06-19,7000000,17506470,18190831,11190831,159.8690142857143
872,While We're Young,9700000,2015-03-27,10000000,7582065,17503828,7503828,75.03828
873,Scouts Guide to the Zombie Apocalypse,12400000,2015-10-30,15000000,3703046,15554855,554855,3.6990333333333334
874,Suffragette,11300000,2015-10-23,14000000,4702420,34044909,20044909,143.1779214285714
875,It Follows,0,2015-03-13,2000000,14674077,23250755,21250755,1062.5377500000002
876,Unfinished Business,4200000,2015-03-06,35000000,10219501,13214051,-21785949,-62.245568571428564
877,Do You Believe?,1400000,2015-03-20,2300000,12985600,14304931,12004931,521.9535217391305
878,Woodlawn,0,2015-10-16,13000000,14394097,14403703,1403703,10.797715384615385
879,Hot Tub Time Machine 2,767000,2015-02-20,14000000,12314651,12826644,-1173356,-8.381114285714286
880,Child 44,11700000,2015-04-17,50000000,1224330,8004221,-41995779,-83.991558
881,We Are Your Friends,7500000,2015-08-28,2000000,3591417,10153415,8153415,407.67075000000006
882,Danny Collins,5200000,2015-03-20,10000000,5637066,8465845,-1534155,-15.341550000000002
883,Shanghai,9200000,2015-10-02,50000000,46425,15505922,-34494078,-68.988156
884,Me and Earl and the Dying Girl,2300000,2015-06-12,8000000,6758416,9266180,1266180,15.827250000000001
885,Bajrangi Bhaijaan,0,2015-07-17,13000000,8178001,121778347,108778347,836.7565153846155
886,The Green Inferno,0,2015-09-25,1000000,7192291,12931420,11931420,1193.1419999999998
887,Baahubali: The Beginning,0,2015-07-10,40000000,6738000,26736665,-13263335,-33.1583375
888,Little Boy,0,2015-04-24,20000000,6485961,17769299,-2230701,-11.153505
889,Anomalisa,1900000,2015-12-30,8000000,3759286,5706168,-2293832,-28.672900000000002
890,Trash,4800000,2015-10-09,12000000,17484,6553186,-5446814,-45.39011666666667
891,Escobar: Paradise Lost,3600000,2015-06-26,17000000,195792,3917679,-13082321,-76.9548294117647
892,By the Sea,2800000,2015-11-13,20000000,538460,3727746,-16272254,-81.36126999999999
893,Youth,0,2015-12-04,13000000,2703296,24001573,11001573,84.62748461538462
894,Jem and the Holograms,149000,2015-10-23,5000000,2184640,2368937,-2631063,-52.62126000000001
895,Testament of Youth,0,2015-06-05,10000000,1822250,6646669,-3353331,-33.53331
896,The Vatican Tapes,0,2015-07-24,13000000,1784763,14929184,1929184,14.839876923076922
897,The Diary of a Teenage Girl,0,2015-08-07,2000000,1477002,2279959,279959,13.997950000000001
898,Mustang,0,2015-11-20,1400000,845464,5552584,4152584,296.61314285714286
899,The D Train,102000,2015-05-08,3000000,669688,772366,-2227634,-74.25446666666666
900,Freeheld,0,2015-10-02,7000000,546201,1732228,-5267772,-75.25388571428572
901,Maggie,0,2015-05-08,4500000,187112,1027760,-3472240,-77.16088888888889
902,Desert Dancer,0,2015-04-10,4000000,155271,596335,-3403665,-85.09162500000001
903,Manglehorn,0,2015-06-19,4000000,132270,797439,-3202561,-80.064025
904,Eden,0,2016-01-19,2300000,0,0,-2300000,-100.0
905,Before We Go,0,2015-09-04,3000000,37151,483938,-2516062,-83.86873333333334
906,Knock Knock,0,2015-10-09,2000000,36336,6328516,4328516,216.42579999999998
907,Song One,0,2015-01-23,6000000,32251,437089,-5562911,-92.71518333333333
908,Strangerland,0,2015-07-10,10000000,17472,161097,-9838903,-98.38903
909,Skin Trade,0,2015-05-08,9000000,1242,1242,-8998758,-99.9862
910,Captain America: Civil War,745200000,2016-05-06,250000000,408084349,1140069413,890069413,356.0277652
911,Rogue One: A Star Wars Story,523900000,2016-12-16,200000000,532177324,1049102856,849102856,424.551428
912,Finding Dory,542300000,2016-06-17,200000000,486295561,1021215193,821215193,410.60759649999994
913,Zootopia,682500000,2016-03-04,150000000,341268248,1019429616,869429616,579.6197440000001
914,The Secret Life of Pets,507100000,2016-07-08,75000000,368384330,886750534,811750534,1082.3340453333333
915,Batman v Superman: Dawn of Justice,543300000,2016-03-25,250000000,330360194,867500281,617500281,247.0001124
916,Deadpool,420000000,2016-02-12,58000000,363070709,801025593,743025593,1281.0786086206897
917,Suicide Squad,421700000,2016-08-05,175000000,325100054,746059887,571059887,326.31993542857145
918,Doctor Strange,445100000,2016-11-04,165000000,232641920,676404566,511404566,309.94216121212116
919,Moana,394600000,2016-11-23,150000000,248757044,637517365,487517365,325.01157666666666
920,Sing,363800000,2016-12-21,75000000,270329045,634454789,559454789,745.9397186666667
921,X-Men: Apocalypse,388500000,2016-05-27,178000000,155442489,542537546,364537546,204.79637415730338
922,Kung Fu Panda 3,377600000,2016-01-29,140000000,143528619,517599142,377599142,269.71367285714285
923,La La Land,295000000,2016-12-09,20000000,151101803,426351163,406351163,2031.755815
924,Warcraft,386300000,2016-06-10,160000000,47225655,425522281,265522281,165.951425625
925,Jason Bourne,253100000,2016-07-29,120000000,162192920,416168316,296168316,246.80692999999997
926,Ice Age: Collision Course,344500000,2016-07-22,105000000,64063008,402156682,297156682,283.0063638095238
927,Independence Day: Resurgence,286500000,2016-06-24,165000000,103144286,384169424,219169424,132.82995393939393
928,The Legend of Tarzan,230100000,2016-07-01,180000000,126643061,348902025,168902025,93.83445833333333
929,The Angry Birds Movie,244800000,2016-05-20,73000000,107509366,352327887,279327887,382.6409410958904
930,Trolls,193200000,2016-11-04,125000000,153707064,344150134,219150134,175.3201072
931,Star Trek Beyond,184600000,2016-07-22,185000000,158848340,335802233,150802233,81.51472054054054
932,Now You See Me 2,269800000,2016-06-10,90000000,65075540,328325007,238325007,264.80556333333334
933,Dangal,290500000,2016-12-21,9500000,12391761,294654618,285154618,3001.627557894737
934,Alice Through the Looking Glass,222400000,2016-05-27,170000000,77042381,276928112,106928112,62.8988894117647
935,Teenage Mutant Ninja Turtles: Out of the Shadows,163600000,2016-06-03,135000000,82051601,245328374,110328374,81.72472148148148
936,Sully,115700000,2016-09-09,60000000,125070033,238524556,178524556,297.5409266666667
937,Hidden Figures,66300000,2016-12-25,25000000,169607287,231771716,206771716,827.086864
938,Inferno,185700000,2016-10-28,75000000,34343574,219519367,144519367,192.69248933333333
939,Central Intelligence,89500000,2016-06-17,50000000,127440871,217194805,167194805,334.38961
940,Me Before You,152100000,2016-06-03,20000000,56245075,208265198,188265198,941.32599
941,London Has Fallen,143200000,2016-03-04,60000000,62524260,195194085,135194085,225.32347499999997
942,Arrival,102800000,2016-11-11,47000000,100546139,203127894,156127894,332.1870085106383
943,Bad Moms,70700000,2016-07-29,20000000,113257297,180998716,160998716,804.9935800000001
944,Storks,110700000,2016-09-23,70000000,72679278,183353431,113353431,161.93347285714285
945,The BFG,127900000,2016-07-01,140000000,55483770,199646680,59646680,42.60477142857143
946,The Divergent Series: Allegiant,113100000,2016-03-18,110000000,66184051,172022517,62022517,56.38410636363636
947,Hacksaw Ridge,108100000,2016-11-04,40000000,67209615,168904682,128904682,322.261705
948,Jack Reacher: Never Go Back,103400000,2016-10-21,60000000,58697076,159946489,99946489,166.57748166666667
