,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI
199,3900000.0,7000000.0,-462821.0,Mother and Child,1110509.0,6537179.0,-6.611728571428571
200,1100000.0,9500000.0,-4221368.0,The Runaways,3573673.0,5278632.0,-44.43545263157895
201,4400000.0,3750000.0,-1313889.0,Four Lions,310007.0,2436111.0,-35.037040000000005
203,280000.0,3000000.0,1570178.0,Please Give,4033574.0,4570178.0,52.33926666666666
204,4000000.0,500000.0,5139730.0,Monsters,237301.0,5639730.0,1027.946
206,3800000.0,13000000.0,-9382723.0,The Killer Inside Me,217277.0,3617277.0,-72.1747923076923
207,2800000.0,12500000.0,-8568633.0,The Perfect Game,1089445.0,3931367.0,-68.549064
208,45800.0,500000.0,3324868.0,To Save a Life,3777210.0,3824868.0,664.9736
211,3300000.0,8000000.0,-2685806.0,Wild Target,109338.0,5314194.0,-33.572575
215,1300000.0,9200000.0,7955193.0,Kites,1685269.0,17155193.0,86.46948913043478
216,60300.0,3000000.0,237452.0,Letters to God,2848587.0,3237452.0,7.915066666666666
219,2000000.0,3000000.0,2922292.0,Fish Tank,374675.0,5922292.0,97.40973333333334
220,1200000.0,10100000.0,8626300.0,Housefull,1183658.0,18726300.0,85.4089108910891
222,1900000.0,4500000.0,-2018075.0,After.Life,108596.0,2481925.0,-44.84611111111111
224,2534781.0,14000000.0,-9710007.0,Flipped,1755212.0,4289993.0,-69.35719285714286
226,1100000.0,12000000.0,-11442455.0,Ondine,550472.0,557545.0,-95.35379166666667
231,859000.0,8300000.0,-6946704.0,The City of Your Final Destination,493296.0,1353296.0,-83.69522891566265
233,669000.0,1000000.0,1721096.0,Ajami,621859.0,2721096.0,172.1096
240,40700.0,12500000.0,-10227814.0,Casino Jack,2039869.0,2272186.0,-81.822512
244,949000.0,9000000.0,-8914473.0,Leaves of Grass,70066.0,85527.0,-99.0497
248,726000.0,18000000.0,-16380847.0,Carlos,145526.0,1619153.0,-91.00470555555556
250,701000.0,1500000.0,105139.0,The Disappearance of Alice Creed,166980.0,1605139.0,7.009266666666666
253,487000.0,4500000.0,-4218553.0,Life During Wartime,281447.0,281447.0,-93.74562222222222
254,418000.0,16000000.0,-14532722.0,Enter the Void,337997.0,1467278.0,-90.82951249999999
255,62700.0,8000000.0,-4417203.0,The Secret of Kells,690290.0,3582797.0,-55.215037499999994
258,62500.0,20000000.0,-19126383.0,All Good Things,582024.0,873617.0,-95.631915
261,447000.0,3000000.0,-1977547.0,Chain Letter,205842.0,1022453.0,-65.91823333333333
262,480000.0,1750000.0,-471529.0,I Spit on Your Grave,93051.0,1278471.0,-26.944514285714288
268,4500.0,7000000.0,-6507892.0,The Extra Man,453377.0,492108.0,-92.96988571428571
269,32475.0,50000.0,374149.0,Tiny Furniture,391674.0,424149.0,748.298
272,68700.0,20000000.0,-19722057.0,The Tempest,277943.0,277943.0,-98.610285
273,323000.0,3800000.0,-3459070.0,The Good Heart,20930.0,340930.0,-91.02815789473684
276,158000.0,10000000.0,-9644081.0,Welcome to the Rileys,152857.0,355919.0,-96.44081
278,97100.0,45000000.0,129278214.0,The Girl on the Train,75395035.0,174278214.0,287.28492
287,106000.0,5000000.0,-4717313.0,"Lovely, Still",127564.0,282687.0,-94.34626
297,26400.0,3000000.0,-2866589.0,The Eclipse,133411.0,133411.0,-95.55296666666668
298,41500.0,4200000.0,-4098260.0,George A. Romero's Survival of the Dead,101740.0,101740.0,-97.57761904761905
301,16400.0,2900000.0,-2727133.0,Freakonomics,101270.0,172867.0,-94.03906896551723
302,9100.0,2000000.0,-1897355.0,Saint John of Las Vegas,102645.0,102645.0,-94.86775
332,771400000.0,195000000.0,928790543.0,Transformers: Dark of the Moon,352390543.0,1123790543.0,476.3028425641026
333,804600000.0,410600000.0,635063875.0,Pirates of the Caribbean: On Stranger Tides,241063875.0,1045663875.0,154.6672856794934
336,500400000.0,150000000.0,514837547.0,Kung Fu Panda 2,165249063.0,664837547.0,343.22503133333333
337,416300000.0,125000000.0,505163454.0,Fast Five,210031325.0,630163454.0,404.1307632
338,332300000.0,80000000.0,506464305.0,The Hangover Part II,254464305.0,586464305.0,633.08038125
339,421100000.0,110000000.0,453749323.0,The Smurfs,142614158.0,563749323.0,412.4993845454545
340,370700000.0,200000000.0,360155383.0,Cars 2,191450875.0,560155383.0,180.0776915
341,405700000.0,130000000.0,424987477.0,Puss in Boots,149260504.0,554987477.0,326.9134438461538
342,358600000.0,125000000.0,410663443.0,Sherlock Holmes: A Game of Shadows,186848418.0,535663443.0,328.53075440000003
343,341000000.0,90000000.0,397519809.0,Rio,143619809.0,487519809.0,441.6886766666667
344,305000000.0,93000000.0,377986200.0,Rise of the Planet of the Apes,176760185.0,470986200.0,406.43677419354833
345,268300000.0,150000000.0,299326618.0,Thor,181030624.0,449326618.0,199.55107866666665
346,296400000.0,130000000.0,243993951.0,The Adventures of Tintin,77591831.0,373993951.0,187.68765461538462
347,193900000.0,140000000.0,230569776.0,Captain America: The First Avenger,176654505.0,370569776.0,164.69269714285716
348,207200000.0,160000000.0,195408305.0,X-Men: First Class,146408305.0,355408305.0,122.13019062499998
349,209600000.0,80000000.0,269088523.0,Alvin and the Chipmunks: Chipwrecked,133107389.0,349088523.0,336.36065375
350,213800000.0,110000000.0,153880341.0,Real Steel,85463309.0,263880341.0,139.8912190909091
351,119300000.0,32500000.0,257132023.0,Bridesmaids,169211718.0,289632023.0,791.1754553846154
352,133100000.0,50000000.0,207972745.0,Super 8,127004179.0,257972745.0,415.94549
353,122200000.0,135000000.0,110724600.0,Rango,123477607.0,245724600.0,82.01822222222222
355,129000000.0,110000000.0,119155503.0,The Green Hornet,98780042.0,229155503.0,108.32318454545455
356,143400000.0,75000000.0,136562435.0,Immortals,83504017.0,211562435.0,182.08324666666667
357,103300000.0,200000000.0,19535492.0,Green Lantern,116601172.0,219535492.0,9.767745999999999
358,46900000.0,25000000.0,188120004.0,The Help,169705587.0,213120004.0,752.480016
359,115900000.0,19000000.0,196448997.0,Bad Teacher,100292856.0,215448997.0,1033.942089473684
360,111900000.0,80000000.0,134974953.0,Just Go With It,103028109.0,214974953.0,168.71869125
361,128300000.0,70000000.0,143463976.0,Battle: Los Angeles,83552429.0,213463976.0,204.94853714285713
362,92100000.0,35000000.0,177417601.0,Horrible Bosses,117538559.0,212417601.0,506.90743142857144
363,103000000.0,5000000.0,202039844.0,Paranormal Activity 3,104028807.0,207039844.0,4040.79688
364,94000000.0,36000000.0,157737977.0,Gnomeo and Juliet,99967670.0,193737977.0,438.16104722222224
366,111900000.0,180000000.0,47784.0,Hugo,73864507.0,180047784.0,0.026546666666666666
368,75900000.0,63000000.0,125657593.0,Hop,108085305.0,188657593.0,199.45649682539684
369,97700000.0,70000000.0,86815529.0,War Horse,79883359.0,156815529.0,124.02218428571427
370,94700000.0,20000000.0,155507800.0,The Descendants,82624961.0,175507800.0,777.539
372,136400000.0,35000000.0,130103952.0,In Time,37553932.0,165103952.0,371.72557714285716
373,89500000.0,80000000.0,90805525.0,Zookeeper,80360866.0,170805525.0,113.50690625
374,76600000.0,45000000.0,115971922.0,The Muppets,88625922.0,160971922.0,257.7153822222222
375,82600000.0,27000000.0,128564919.0,Limitless,79249455.0,155564919.0,476.16636666666665
376,151800000.0,45000000.0,119640401.0,Johnny English Reborn,8406711.0,164640401.0,265.8675577777778
377,115300000.0,40000000.0,115011165.0,Final Destination 5,42587643.0,155011165.0,287.5279125
378,74900000.0,85000000.0,65422946.0,Tower Heist,78046570.0,150422946.0,76.96817176470589
379,94300000.0,30000000.0,132502774.0,Midnight in Paris,56816662.0,162502774.0,441.67591333333337
380,86400000.0,135000000.0,22956466.0,Happy Feet Two,64006466.0,157956466.0,17.00478962962963
